marks,year,caste,list,cutoff,result
61,2021,NT-B,3rd,48,1
74,2021,SBC,3rd,68,1
58,2021,SBC,3rd,68,0
35,2021,ST,3rd,61,0
56,2021,OBC,3rd,62,0
45,2021,EBC,3rd,#N/A,#N/A
87,2021,OBC,3rd,62,1
53,2021,EBC,3rd,#N/A,#N/A
73,2021,Open,3rd,72,1
71,2021,SBC,3rd,68,1
46,2021,OBC,3rd,62,0
76,2021,VJ-A,3rd,68,1
61,2021,SEBC,3rd,#N/A,#N/A
93,2021,OBC,3rd,62,1
62,2021,ST,3rd,61,1
75,2021,NT-C,3rd,63,1
35,2021,OBC,3rd,62,0
96,2021,ST,3rd,61,1
35,2021,SEBC,3rd,#N/A,#N/A
49,2021,VJ-A,3rd,68,0
64,2021,VJ-A,3rd,68,0
37,2021,Open,3rd,72,0
51,2021,ST,3rd,61,0
67,2021,NT-B,3rd,48,1
69,2021,NT-C,3rd,63,1
49,2021,NT-C,3rd,63,0
67,2021,Open,3rd,72,0
70,2021,VJ-A,3rd,68,1
50,2021,Open,3rd,72,0
96,2021,SBC,3rd,68,1
57,2021,Open,3rd,72,0
70,2021,NT-C,3rd,63,1
48,2021,Open,3rd,72,0
70,2021,NT-B,3rd,48,1
47,2021,SC,3rd,38,1
100,2021,Open,3rd,72,1
82,2021,ST,3rd,61,1
37,2021,ST,3rd,61,0
74,2021,NT-C,3rd,63,1
69,2021,ST,3rd,61,1
96,2021,SC,3rd,38,1
38,2021,ST,3rd,61,0
54,2021,NT-D,3rd,38,1
65,2021,SEBC,3rd,#N/A,#N/A
79,2021,Open,3rd,72,1
86,2021,Open,3rd,72,1
90,2021,SEBC,3rd,#N/A,#N/A
71,2021,SEBC,3rd,#N/A,#N/A
70,2021,ST,3rd,61,1
78,2021,NT-B,3rd,48,1
38,2021,NT-B,3rd,48,0
95,2021,SC,3rd,38,1
57,2021,OBC,3rd,62,0
91,2021,NT-B,3rd,48,1
39,2021,ST,3rd,61,0
75,2021,SEBC,3rd,#N/A,#N/A
89,2021,VJ-A,3rd,68,1
62,2021,ST,3rd,61,1
71,2021,SEBC,3rd,#N/A,#N/A
48,2021,NT-C,3rd,63,0
85,2021,SC,3rd,38,1
41,2021,NT-B,3rd,48,0
67,2021,NT-D,3rd,38,1
42,2021,SBC,3rd,68,0
49,2021,SEBC,3rd,#N/A,#N/A
63,2021,OBC,3rd,62,1
50,2021,NT-D,3rd,38,1
55,2021,SC,3rd,38,1
52,2021,SEBC,3rd,#N/A,#N/A
96,2021,Open,3rd,72,1
62,2021,NT-D,3rd,38,1
99,2021,OBC,3rd,62,1
75,2021,SC,3rd,38,1
38,2021,SBC,3rd,68,0
58,2021,ST,3rd,61,0
48,2021,ST,3rd,61,0
83,2021,SEBC,3rd,#N/A,#N/A
82,2021,NT-D,3rd,38,1
87,2021,NT-C,3rd,63,1
90,2021,VJ-A,3rd,68,1
51,2021,OBC,3rd,62,0
87,2021,NT-C,3rd,63,1
92,2021,Open,3rd,72,1
92,2021,VJ-A,3rd,68,1
50,2021,SC,3rd,38,1
63,2021,Open,3rd,72,0
63,2021,NT-D,3rd,38,1
88,2021,Open,3rd,72,1
71,2021,NT-D,3rd,38,1
63,2021,NT-B,3rd,48,1
93,2021,ST,3rd,61,1
82,2021,VJ-A,3rd,68,1
76,2021,Open,3rd,72,1
78,2021,NT-C,3rd,63,1
82,2021,EBC,3rd,#N/A,#N/A
71,2021,ST,3rd,61,1
37,2021,NT-B,3rd,48,0
73,2021,SBC,3rd,68,1
62,2021,EBC,3rd,#N/A,#N/A
35,2021,NT-C,3rd,63,0
60,2021,SC,3rd,38,1
40,2021,ST,3rd,61,0
49,2021,NT-B,3rd,48,1
61,2021,NT-B,3rd,48,1
71,2021,NT-C,3rd,63,1
91,2021,Open,3rd,72,1
79,2021,Open,3rd,72,1
37,2021,SBC,3rd,68,0
75,2021,EBC,3rd,#N/A,#N/A
76,2021,OBC,3rd,62,1
37,2021,VJ-A,3rd,68,0
98,2021,VJ-A,3rd,68,1
43,2021,SC,3rd,38,1
47,2021,OBC,3rd,62,0
69,2021,SC,3rd,38,1
82,2021,SEBC,3rd,#N/A,#N/A
54,2021,SBC,3rd,68,0
58,2021,ST,3rd,61,0
43,2021,SEBC,3rd,#N/A,#N/A
74,2021,EBC,3rd,#N/A,#N/A
67,2021,SBC,3rd,68,0
51,2021,SBC,3rd,68,0
43,2021,VJ-A,3rd,68,0
83,2021,EBC,3rd,#N/A,#N/A
50,2021,NT-C,3rd,63,0
73,2021,ST,3rd,61,1
68,2021,EBC,3rd,#N/A,#N/A
77,2021,SEBC,3rd,#N/A,#N/A
75,2021,OBC,3rd,62,1
41,2021,OBC,3rd,62,0
73,2021,OBC,3rd,62,1
69,2021,NT-D,3rd,38,1
72,2021,VJ-A,3rd,68,1
53,2021,NT-D,3rd,38,1
58,2021,VJ-A,3rd,68,0
87,2021,ST,3rd,61,1
70,2021,NT-B,3rd,48,1
67,2021,OBC,3rd,62,1
47,2021,SEBC,3rd,#N/A,#N/A
91,2021,SEBC,3rd,#N/A,#N/A
67,2021,ST,3rd,61,1
40,2021,SBC,3rd,68,0
81,2021,VJ-A,3rd,68,1
52,2021,VJ-A,3rd,68,0
63,2021,Open,3rd,72,0
86,2021,VJ-A,3rd,68,1
86,2021,SEBC,3rd,#N/A,#N/A
54,2021,OBC,3rd,62,0
75,2021,NT-B,3rd,48,1
56,2021,NT-D,3rd,38,1
99,2021,NT-B,3rd,48,1
57,2021,NT-D,3rd,38,1
82,2021,NT-C,3rd,63,1
84,2021,SC,3rd,38,1
83,2021,NT-B,3rd,48,1
70,2021,EBC,3rd,#N/A,#N/A
93,2021,EBC,3rd,#N/A,#N/A
70,2021,ST,3rd,61,1
49,2021,ST,3rd,61,0
80,2021,SBC,3rd,68,1
45,2021,OBC,3rd,62,0
84,2021,Open,3rd,72,1
80,2021,ST,3rd,61,1
95,2021,Open,3rd,72,1
47,2021,OBC,3rd,62,0
66,2021,NT-C,3rd,63,1
62,2021,OBC,3rd,62,0
51,2021,SC,3rd,38,1
79,2021,Open,3rd,72,1
70,2021,OBC,3rd,62,1
42,2021,SC,3rd,38,1
35,2021,SEBC,3rd,#N/A,#N/A
75,2021,NT-C,3rd,63,1
67,2021,OBC,3rd,62,1
52,2021,NT-D,3rd,38,1
37,2021,NT-D,3rd,38,0
80,2021,ST,3rd,61,1
76,2021,EBC,3rd,#N/A,#N/A
47,2021,NT-B,3rd,48,0
64,2021,EBC,3rd,#N/A,#N/A
58,2021,SC,3rd,38,1
61,2021,SBC,3rd,68,0
61,2021,NT-D,3rd,38,1
64,2021,SC,3rd,38,1
75,2021,NT-C,3rd,63,1
83,2021,SBC,3rd,68,1
59,2021,NT-C,3rd,63,0
73,2021,SBC,3rd,68,1
84,2021,EBC,3rd,#N/A,#N/A
74,2021,EBC,3rd,#N/A,#N/A
58,2021,Open,3rd,72,0
41,2021,SEBC,3rd,#N/A,#N/A
58,2021,SBC,3rd,68,0
68,2021,SBC,3rd,68,0
48,2021,SC,3rd,38,1
71,2021,EBC,3rd,#N/A,#N/A
51,2021,NT-B,3rd,48,1
63,2021,SC,3rd,38,1
48,2021,SC,3rd,38,1
86,2021,NT-C,3rd,63,1
43,2021,Open,3rd,72,0
41,2021,NT-B,3rd,48,0
91,2021,OBC,3rd,62,1
90,2021,NT-C,3rd,63,1
90,2021,Open,3rd,72,1
88,2021,ST,3rd,61,1
66,2021,EBC,3rd,#N/A,#N/A
42,2021,NT-B,3rd,48,0
75,2021,SBC,3rd,68,1
73,2021,ST,3rd,61,1
37,2021,SC,3rd,38,0
59,2021,Open,3rd,72,0
62,2021,OBC,3rd,62,0
92,2021,Open,3rd,72,1
66,2021,NT-C,3rd,63,1
76,2021,Open,3rd,72,1
81,2021,SC,3rd,38,1
35,2021,OBC,3rd,62,0
87,2021,OBC,3rd,62,1
39,2021,Open,3rd,72,0
63,2021,SC,3rd,38,1
51,2021,SC,3rd,38,1
68,2021,EBC,3rd,#N/A,#N/A
40,2021,ST,3rd,61,0
88,2021,SEBC,3rd,#N/A,#N/A
53,2021,SC,3rd,38,1
52,2021,NT-B,3rd,48,1
100,2021,NT-D,3rd,38,1
79,2021,NT-D,3rd,38,1
74,2021,VJ-A,3rd,68,1
80,2021,SEBC,3rd,#N/A,#N/A
35,2021,NT-D,3rd,38,0
56,2021,NT-B,3rd,48,1
35,2021,NT-D,3rd,38,0
58,2021,NT-B,3rd,48,1
77,2021,NT-D,3rd,38,1
100,2021,SC,3rd,38,1
99,2021,SBC,3rd,68,1
85,2021,Open,3rd,72,1
74,2021,OBC,3rd,62,1
57,2021,OBC,3rd,62,0
44,2021,ST,3rd,61,0
56,2021,NT-C,3rd,63,0
46,2021,SC,3rd,38,1
45,2021,NT-D,3rd,38,1
99,2021,VJ-A,3rd,68,1
58,2021,OBC,3rd,62,0
63,2021,VJ-A,3rd,68,0
67,2021,NT-D,3rd,38,1
53,2021,VJ-A,3rd,68,0
99,2021,OBC,3rd,62,1
96,2021,NT-B,3rd,48,1
35,2021,NT-B,3rd,48,0
99,2021,ST,3rd,61,1
88,2021,Open,3rd,72,1
80,2021,SBC,3rd,68,1
86,2021,EBC,3rd,#N/A,#N/A
53,2021,NT-B,3rd,48,1
81,2021,EBC,3rd,#N/A,#N/A
90,2021,ST,3rd,61,1
74,2021,Open,3rd,72,1
76,2021,NT-D,3rd,38,1
99,2021,EBC,3rd,#N/A,#N/A
78,2021,SEBC,3rd,#N/A,#N/A
46,2021,SC,3rd,38,1
98,2021,EBC,3rd,#N/A,#N/A
90,2021,ST,3rd,61,1
64,2021,ST,3rd,61,1
79,2021,SC,3rd,38,1
71,2021,SC,3rd,38,1
86,2021,OBC,3rd,62,1
78,2021,SC,3rd,38,1
98,2021,NT-C,3rd,63,1
98,2021,NT-B,3rd,48,1
48,2021,OBC,3rd,62,0
84,2021,NT-D,3rd,38,1
55,2021,SBC,3rd,68,0
98,2021,NT-B,3rd,48,1
53,2021,ST,3rd,61,0
93,2021,ST,3rd,61,1
74,2021,NT-B,3rd,48,1
60,2021,NT-D,3rd,38,1
75,2021,OBC,3rd,62,1
94,2021,NT-D,3rd,38,1
90,2021,EBC,3rd,#N/A,#N/A
39,2021,NT-C,3rd,63,0
98,2021,ST,3rd,61,1
79,2021,VJ-A,3rd,68,1
76,2021,NT-B,3rd,48,1
52,2021,ST,3rd,61,0
88,2021,SC,3rd,38,1
78,2021,Open,3rd,72,1
99,2021,SEBC,3rd,#N/A,#N/A
37,2021,SBC,3rd,68,0
99,2021,OBC,3rd,62,1
65,2021,Open,3rd,72,0
54,2021,NT-B,3rd,48,1
79,2021,NT-B,3rd,48,1
44,2021,EBC,3rd,#N/A,#N/A
82,2021,ST,3rd,61,1
100,2021,ST,3rd,61,1
92,2021,OBC,3rd,62,1
75,2021,NT-B,3rd,48,1
35,2021,SBC,3rd,68,0
38,2021,SEBC,3rd,#N/A,#N/A
99,2021,EBC,3rd,#N/A,#N/A
37,2021,ST,3rd,61,0
41,2021,OBC,3rd,62,0
63,2021,OBC,3rd,62,1
71,2021,VJ-A,3rd,68,1
88,2021,SEBC,3rd,#N/A,#N/A
36,2021,NT-C,3rd,63,0
47,2021,SC,3rd,38,1
81,2021,NT-D,3rd,38,1
60,2021,SC,3rd,38,1
56,2021,NT-C,3rd,63,0
43,2021,NT-C,3rd,63,0
50,2021,NT-C,3rd,63,0
82,2021,EBC,3rd,#N/A,#N/A
59,2021,ST,3rd,61,0
76,2021,SC,3rd,38,1
89,2021,Open,3rd,72,1
52,2021,VJ-A,3rd,68,0
69,2021,VJ-A,3rd,68,1
66,2021,SC,3rd,38,1
37,2021,NT-B,3rd,48,0
58,2021,EBC,3rd,#N/A,#N/A
37,2021,VJ-A,3rd,68,0
36,2021,Open,3rd,72,0
79,2021,EBC,3rd,#N/A,#N/A
67,2021,EBC,3rd,#N/A,#N/A
86,2021,OBC,3rd,62,1
61,2021,NT-D,3rd,38,1
85,2021,ST,3rd,61,1
47,2021,OBC,3rd,62,0
36,2021,SC,3rd,38,0
100,2021,ST,3rd,61,1
48,2021,SBC,3rd,68,0
93,2021,EBC,3rd,#N/A,#N/A
45,2021,EBC,3rd,#N/A,#N/A
81,2021,Open,3rd,72,1
63,2021,NT-D,3rd,38,1
76,2021,EBC,3rd,#N/A,#N/A
89,2021,SEBC,3rd,#N/A,#N/A
49,2021,VJ-A,3rd,68,0
43,2021,SEBC,3rd,#N/A,#N/A
56,2021,NT-C,3rd,63,0
42,2021,NT-C,3rd,63,0
97,2021,SBC,3rd,68,1
80,2021,SC,3rd,38,1
97,2021,NT-B,3rd,48,1
90,2021,Open,3rd,72,1
47,2021,NT-C,3rd,63,0
85,2021,SEBC,3rd,#N/A,#N/A
78,2021,NT-C,3rd,63,1
39,2021,NT-C,3rd,63,0
46,2021,EBC,3rd,#N/A,#N/A
69,2021,SEBC,3rd,#N/A,#N/A
44,2021,SEBC,3rd,#N/A,#N/A
99,2021,OBC,3rd,62,1
71,2021,NT-C,3rd,63,1
69,2021,EBC,3rd,#N/A,#N/A
58,2021,NT-C,3rd,63,0
61,2021,EBC,3rd,#N/A,#N/A
78,2021,NT-B,3rd,48,1
76,2021,OBC,3rd,62,1
75,2021,NT-C,3rd,63,1
95,2021,OBC,3rd,62,1
69,2021,NT-D,3rd,38,1
53,2021,NT-C,3rd,63,0
65,2021,Open,3rd,72,0
69,2021,SBC,3rd,68,1
58,2021,NT-C,3rd,63,0
86,2021,SBC,3rd,68,1
62,2021,SC,3rd,38,1
83,2021,Open,3rd,72,1
70,2021,VJ-A,3rd,68,1
74,2021,SC,3rd,38,1
91,2021,VJ-A,3rd,68,1
53,2021,SC,3rd,38,1
71,2021,SBC,3rd,68,1
91,2021,NT-B,3rd,48,1
43,2021,SC,3rd,38,1
98,2021,VJ-A,3rd,68,1
91,2021,Open,3rd,72,1
58,2021,OBC,3rd,62,0
65,2021,NT-D,3rd,38,1
58,2021,NT-D,3rd,38,1
48,2021,EBC,3rd,#N/A,#N/A
51,2021,Open,3rd,72,0
47,2021,SC,3rd,38,1
71,2021,NT-B,3rd,48,1
96,2021,EBC,3rd,#N/A,#N/A
74,2021,SEBC,3rd,#N/A,#N/A
77,2021,NT-D,3rd,38,1
63,2021,NT-B,3rd,48,1
96,2021,SEBC,3rd,#N/A,#N/A
84,2021,SBC,3rd,68,1
41,2021,NT-B,3rd,48,0
59,2021,SEBC,3rd,#N/A,#N/A
56,2021,SBC,3rd,68,0
53,2021,SBC,3rd,68,0
90,2021,EBC,3rd,#N/A,#N/A
64,2021,NT-D,3rd,38,1
77,2021,NT-C,3rd,63,1
39,2021,SEBC,3rd,#N/A,#N/A
35,2021,NT-C,3rd,63,0
72,2021,SBC,3rd,68,1
82,2021,OBC,3rd,62,1
69,2021,SBC,3rd,68,1
94,2021,SC,3rd,38,1
72,2021,OBC,3rd,62,1
96,2021,SBC,3rd,68,1
80,2021,NT-B,3rd,48,1
58,2021,VJ-A,3rd,68,0
36,2021,Open,3rd,72,0
38,2021,Open,3rd,72,0
35,2021,OBC,3rd,62,0
71,2021,NT-B,3rd,48,1
39,2021,Open,3rd,72,0
52,2021,NT-C,3rd,63,0
61,2021,SEBC,3rd,#N/A,#N/A
98,2021,NT-B,3rd,48,1
100,2021,SEBC,3rd,#N/A,#N/A
59,2021,NT-D,3rd,38,1
59,2021,SC,3rd,38,1
88,2021,EBC,3rd,#N/A,#N/A
70,2021,EBC,3rd,#N/A,#N/A
89,2021,VJ-A,3rd,68,1
99,2021,NT-D,3rd,38,1
78,2021,EBC,3rd,#N/A,#N/A
35,2021,SBC,3rd,68,0
53,2021,VJ-A,3rd,68,0
46,2021,NT-C,3rd,63,0
83,2021,Open,3rd,72,1
49,2021,SBC,3rd,68,0
77,2021,NT-C,3rd,63,1
37,2021,ST,3rd,61,0
92,2021,VJ-A,3rd,68,1
70,2021,SC,3rd,38,1
62,2021,SEBC,3rd,#N/A,#N/A
55,2021,SC,3rd,38,1
76,2020,SC,1st,40,1
67,2020,SEBC,1st,40,1
79,2020,EBC,1st,52,1
81,2020,NT-B,1st,38,1
70,2020,SBC,1st,66,1
66,2020,EBC,1st,52,1
61,2020,NT-B,1st,38,1
62,2020,SC,1st,40,1
71,2020,NT-D,1st,35,1
57,2020,NT-D,1st,35,1
53,2020,SEBC,1st,40,1
75,2020,ST,1st,35,1
71,2020,VJ-A,1st,52,1
85,2020,VJ-A,1st,52,1
36,2020,NT-B,1st,38,0
41,2020,NT-B,1st,38,1
43,2020,SBC,1st,66,0
53,2020,NT-B,1st,38,1
35,2020,SC,1st,40,0
74,2020,SC,1st,40,1
40,2020,EBC,1st,52,0
37,2020,EBC,1st,52,0
95,2020,SEBC,1st,40,1
66,2020,SC,1st,40,1
51,2020,EBC,1st,52,0
72,2020,SBC,1st,66,1
67,2020,SEBC,1st,40,1
93,2020,Open,1st,72,1
41,2020,EBC,1st,52,0
93,2020,NT-D,1st,35,1
83,2020,SEBC,1st,40,1
46,2020,NT-C,1st,35,1
73,2020,ST,1st,35,1
39,2020,NT-B,1st,38,1
51,2020,Open,1st,72,0
55,2020,NT-C,1st,35,1
52,2020,NT-D,1st,35,1
37,2020,VJ-A,1st,52,0
82,2020,SEBC,1st,40,1
67,2020,NT-B,1st,38,1
42,2020,ST,1st,35,1
83,2020,ST,1st,35,1
51,2020,NT-C,1st,35,1
98,2020,OBC,1st,65,1
64,2020,SC,1st,40,1
96,2020,Open,1st,72,1
90,2020,SC,1st,40,1
49,2020,OBC,1st,65,0
49,2020,NT-C,1st,35,1
44,2020,OBC,1st,65,0
92,2020,Open,1st,72,1
70,2020,NT-C,1st,35,1
78,2020,NT-D,1st,35,1
86,2020,NT-C,1st,35,1
56,2020,SEBC,1st,40,1
94,2020,ST,1st,35,1
68,2020,VJ-A,1st,52,1
95,2020,SEBC,1st,40,1
53,2020,SBC,1st,66,0
63,2020,VJ-A,1st,52,1
81,2020,SBC,1st,66,1
94,2020,NT-D,1st,35,1
81,2020,VJ-A,1st,52,1
90,2020,NT-D,1st,35,1
100,2020,NT-D,1st,35,1
58,2020,OBC,1st,65,0
52,2020,SC,1st,40,1
95,2020,Open,1st,72,1
87,2020,VJ-A,1st,52,1
76,2020,NT-D,1st,35,1
75,2020,Open,1st,72,1
73,2020,EBC,1st,52,1
46,2020,NT-B,1st,38,1
55,2020,SC,1st,40,1
78,2020,EBC,1st,52,1
84,2020,SC,1st,40,1
63,2020,NT-C,1st,35,1
35,2020,SEBC,1st,40,0
73,2020,NT-C,1st,35,1
83,2020,SC,1st,40,1
52,2020,SEBC,1st,40,1
37,2020,NT-C,1st,35,1
51,2020,SBC,1st,66,0
42,2020,NT-D,1st,35,1
91,2020,VJ-A,1st,52,1
75,2020,ST,1st,35,1
62,2020,OBC,1st,65,0
99,2020,VJ-A,1st,52,1
68,2020,NT-B,1st,38,1
92,2020,NT-B,1st,38,1
58,2020,SC,1st,40,1
86,2020,SC,1st,40,1
84,2020,SBC,1st,66,1
44,2020,VJ-A,1st,52,0
40,2020,NT-B,1st,38,1
35,2020,OBC,1st,65,0
98,2020,SEBC,1st,40,1
51,2020,SBC,1st,66,0
70,2020,SEBC,1st,40,1
54,2020,OBC,1st,65,0
85,2020,NT-C,1st,35,1
45,2020,NT-B,1st,38,1
69,2020,NT-C,1st,35,1
54,2020,NT-D,1st,35,1
98,2020,SEBC,1st,40,1
42,2020,SEBC,1st,40,1
57,2020,Open,1st,72,0
45,2020,NT-C,1st,35,1
44,2020,NT-C,1st,35,1
44,2020,SBC,1st,66,0
89,2020,Open,1st,72,1
76,2020,SEBC,1st,40,1
66,2020,Open,1st,72,0
40,2020,NT-D,1st,35,1
76,2020,NT-D,1st,35,1
62,2020,Open,1st,72,0
59,2020,VJ-A,1st,52,1
99,2020,SC,1st,40,1
79,2020,SBC,1st,66,1
75,2020,NT-C,1st,35,1
54,2020,VJ-A,1st,52,1
57,2020,NT-B,1st,38,1
35,2020,NT-D,1st,35,0
53,2020,NT-B,1st,38,1
43,2020,EBC,1st,52,0
38,2020,EBC,1st,52,0
89,2020,SC,1st,40,1
46,2020,SBC,1st,66,0
83,2020,OBC,1st,65,1
37,2020,SEBC,1st,40,0
76,2020,ST,1st,35,1
57,2020,Open,1st,72,0
83,2020,SBC,1st,66,1
74,2020,EBC,1st,52,1
75,2020,SC,1st,40,1
71,2020,NT-C,1st,35,1
100,2020,OBC,1st,65,1
46,2020,SEBC,1st,40,1
95,2020,Open,1st,72,1
54,2020,EBC,1st,52,1
42,2020,EBC,1st,52,0
35,2020,ST,1st,35,0
67,2020,NT-C,1st,35,1
49,2020,NT-C,1st,35,1
94,2020,VJ-A,1st,52,1
75,2020,ST,1st,35,1
94,2020,VJ-A,1st,52,1
91,2020,SEBC,1st,40,1
73,2020,ST,1st,35,1
98,2020,NT-C,1st,35,1
81,2020,NT-C,1st,35,1
67,2020,NT-B,1st,38,1
91,2020,NT-B,1st,38,1
57,2020,NT-B,1st,38,1
72,2020,SEBC,1st,40,1
79,2020,SBC,1st,66,1
49,2020,ST,1st,35,1
51,2020,EBC,1st,52,0
73,2020,NT-B,1st,38,1
52,2020,SC,1st,40,1
50,2020,OBC,1st,65,0
51,2020,NT-B,1st,38,1
66,2020,NT-D,1st,35,1
85,2020,NT-B,1st,38,1
75,2020,SBC,1st,66,1
40,2020,NT-C,1st,35,1
70,2020,Open,1st,72,0
84,2020,NT-B,1st,38,1
66,2020,OBC,1st,65,1
81,2020,NT-B,1st,38,1
36,2020,VJ-A,1st,52,0
81,2020,Open,1st,72,1
86,2020,NT-D,1st,35,1
35,2020,SBC,1st,66,0
81,2020,SC,1st,40,1
53,2020,SC,1st,40,1
36,2020,Open,1st,72,0
77,2020,OBC,1st,65,1
64,2020,EBC,1st,52,1
63,2020,Open,1st,72,0
86,2020,EBC,1st,52,1
71,2020,Open,1st,72,0
100,2020,SEBC,1st,40,1
61,2020,SEBC,1st,40,1
45,2020,VJ-A,1st,52,0
62,2020,Open,1st,72,0
71,2020,NT-C,1st,35,1
88,2020,ST,1st,35,1
77,2020,SEBC,1st,40,1
54,2020,SBC,1st,66,0
62,2020,Open,1st,72,0
40,2020,ST,1st,35,1
85,2020,VJ-A,1st,52,1
70,2020,SC,1st,40,1
80,2020,NT-C,1st,35,1
61,2020,Open,1st,72,0
79,2020,OBC,1st,65,1
91,2020,OBC,1st,65,1
37,2020,NT-B,1st,38,0
67,2020,ST,1st,35,1
63,2020,OBC,1st,65,0
97,2020,SEBC,1st,40,1
77,2020,NT-D,1st,35,1
44,2020,ST,1st,35,1
44,2020,Open,1st,72,0
68,2020,NT-B,1st,38,1
38,2020,OBC,1st,65,0
56,2020,SBC,1st,66,0
74,2020,NT-D,1st,35,1
44,2020,ST,1st,35,1
64,2020,EBC,1st,52,1
57,2020,SEBC,1st,40,1
73,2020,NT-B,1st,38,1
92,2020,VJ-A,1st,52,1
67,2020,NT-D,1st,35,1
44,2020,OBC,1st,65,0
36,2020,EBC,1st,52,0
35,2020,OBC,1st,65,0
49,2020,SC,1st,40,1
72,2020,NT-C,1st,35,1
61,2020,Open,1st,72,0
73,2020,ST,1st,35,1
86,2020,ST,1st,35,1
51,2020,VJ-A,1st,52,0
35,2020,EBC,1st,52,0
99,2020,OBC,1st,65,1
86,2020,OBC,1st,65,1
41,2020,NT-C,1st,35,1
52,2020,VJ-A,1st,52,0
70,2020,NT-D,1st,35,1
71,2020,SC,1st,40,1
93,2020,NT-C,1st,35,1
41,2020,Open,1st,72,0
89,2020,SC,1st,40,1
82,2020,SBC,1st,66,1
58,2020,NT-B,1st,38,1
91,2020,ST,1st,35,1
39,2020,OBC,1st,65,0
93,2020,OBC,1st,65,1
39,2020,VJ-A,1st,52,0
38,2020,SEBC,1st,40,0
79,2020,NT-D,1st,35,1
59,2020,SBC,1st,66,0
47,2020,NT-B,1st,38,1
56,2020,OBC,1st,65,0
96,2020,SBC,1st,66,1
35,2020,EBC,1st,52,0
76,2020,NT-B,1st,38,1
58,2020,SC,1st,40,1
61,2020,SC,1st,40,1
37,2020,OBC,1st,65,0
52,2020,SEBC,1st,40,1
58,2020,SEBC,1st,40,1
95,2020,OBC,1st,65,1
50,2020,ST,1st,35,1
97,2020,NT-B,1st,38,1
51,2020,NT-C,1st,35,1
73,2020,OBC,1st,65,1
54,2020,NT-B,1st,38,1
35,2020,VJ-A,1st,52,0
93,2020,SBC,1st,66,1
65,2020,ST,1st,35,1
66,2020,NT-D,1st,35,1
44,2020,VJ-A,1st,52,0
78,2020,EBC,1st,52,1
53,2020,Open,1st,72,0
85,2020,ST,1st,35,1
39,2020,ST,1st,35,1
56,2020,OBC,1st,65,0
58,2020,SEBC,1st,40,1
77,2020,SBC,1st,66,1
90,2020,OBC,1st,65,1
54,2020,VJ-A,1st,52,1
71,2020,SC,1st,40,1
82,2020,SC,1st,40,1
94,2020,ST,1st,35,1
45,2020,NT-D,1st,35,1
58,2020,NT-D,1st,35,1
80,2020,NT-D,1st,35,1
36,2020,ST,1st,35,1
66,2020,NT-C,1st,35,1
40,2020,SC,1st,40,0
40,2020,NT-C,1st,35,1
95,2020,ST,1st,35,1
56,2020,OBC,1st,65,0
42,2020,SBC,1st,66,0
71,2020,VJ-A,1st,52,1
96,2020,VJ-A,1st,52,1
92,2020,EBC,1st,52,1
63,2020,ST,1st,35,1
36,2020,VJ-A,1st,52,0
78,2020,OBC,1st,65,1
65,2020,EBC,1st,52,1
41,2020,NT-C,1st,35,1
93,2020,SEBC,1st,40,1
75,2020,EBC,1st,52,1
60,2020,Open,1st,72,0
97,2020,ST,1st,35,1
56,2020,OBC,1st,65,0
47,2020,Open,1st,72,0
58,2020,NT-C,1st,35,1
89,2020,EBC,1st,52,1
73,2020,EBC,1st,52,1
53,2020,SC,1st,40,1
47,2020,EBC,1st,52,0
83,2020,OBC,1st,65,1
50,2020,Open,1st,72,0
76,2020,VJ-A,1st,52,1
64,2020,ST,1st,35,1
70,2020,EBC,1st,52,1
58,2020,NT-C,1st,35,1
85,2020,OBC,1st,65,1
43,2020,NT-D,1st,35,1
70,2020,NT-B,1st,38,1
60,2020,OBC,1st,65,0
47,2020,SEBC,1st,40,1
75,2020,OBC,1st,65,1
40,2020,VJ-A,1st,52,0
55,2020,NT-C,1st,35,1
62,2020,NT-C,1st,35,1
61,2020,OBC,1st,65,0
77,2020,Open,1st,72,1
45,2020,VJ-A,1st,52,0
59,2020,OBC,1st,65,0
89,2020,SEBC,1st,40,1
68,2020,NT-B,1st,38,1
36,2020,VJ-A,1st,52,0
44,2020,ST,1st,35,1
89,2020,SEBC,1st,40,1
59,2020,EBC,1st,52,1
94,2020,EBC,1st,52,1
88,2020,NT-D,1st,35,1
65,2020,VJ-A,1st,52,1
44,2020,NT-D,1st,35,1
58,2020,NT-D,1st,35,1
91,2020,EBC,1st,52,1
85,2020,NT-C,1st,35,1
54,2020,ST,1st,35,1
87,2020,NT-B,1st,38,1
99,2020,ST,1st,35,1
54,2020,VJ-A,1st,52,1
55,2020,VJ-A,1st,52,1
88,2020,OBC,1st,65,1
91,2020,ST,1st,35,1
43,2020,SC,1st,40,1
35,2020,EBC,1st,52,0
98,2020,SBC,1st,66,1
48,2020,NT-C,1st,35,1
37,2020,ST,1st,35,1
85,2020,OBC,1st,65,1
70,2020,SC,1st,40,1
93,2020,NT-D,1st,35,1
49,2020,NT-D,1st,35,1
69,2020,EBC,1st,52,1
92,2020,NT-D,1st,35,1
39,2020,NT-C,1st,35,1
99,2020,VJ-A,1st,52,1
89,2020,OBC,1st,65,1
77,2020,SEBC,1st,40,1
94,2020,ST,1st,35,1
56,2020,ST,1st,35,1
40,2020,EBC,1st,52,0
60,2020,VJ-A,1st,52,1
